lap_location,world_location,velocity
0.0001082535891328007,"(-131.0231475830078, -0.41146111488342285, -822.3463134765625)","(7.683177947998047, 0.013918764889240265, 0.7708234190940857)"
0.00015694335161242634,"(-130.77003479003906, -0.41090890765190125, -822.3203125)","(7.656979084014893, 0.019090792164206505, 0.8157393336296082)"
0.00020985290757380426,"(-130.51788330078125, -0.4102064073085785, -822.29248046875)","(7.625906944274902, 0.02390449121594429, 0.859839141368866)"
0.00026568383327685297,"(-130.24368286132812, -0.4092540144920349, -822.2620239257812)","(7.607822895050049, 0.028911365196108818, 0.8238735198974609)"
0.00031372442026622593,"(-129.99298095703125, -0.40823042392730713, -822.2359008789062)","(7.58803129196167, 0.032567620277404785, 0.7647326588630676)"
0.0003670023870654404,"(-129.7428741455078, -0.40710482001304626, -822.2117309570312)","(7.572330474853516, 0.03549937903881073, 0.703803539276123)"
0.0004156223440077156,"(-129.4933624267578, -0.40588945150375366, -822.1900024414062)","(7.552103042602539, 0.03762155398726463, 0.6185668706893921)"
0.00046778417890891433,"(-129.24447631835938, -0.40463370084762573, -822.1707763671875)","(7.533631324768066, 0.03855198249220848, 0.5728525519371033)"
0.0005205899942666292,"(-128.996337890625, -0.4033583998680115, -822.1508178710938)","(7.506405353546143, 0.03841937705874443, 0.639643669128418)"
0.0005682439659722149,"(-128.7490997314453, -0.40210461616516113, -822.12890625)","(7.48221492767334, 0.037317145615816116, 0.6711694598197937)"
0.0006187958642840385,"(-128.5025634765625, -0.4009399712085724, -822.1068725585938)","(7.4608025550842285, 0.03388796001672745, 0.6608410477638245)"
0.0006702078972011805,"(-128.2566680908203, -0.3998190462589264, -822.0849609375)","(7.441228866577148, 0.03406771644949913, 0.6678350567817688)"
0.0007245579618029296,"(-127.98915100097656, -0.3986298441886902, -822.060791015625)","(7.421860694885254, 0.03194752708077431, 0.6802246570587158)"
0.0007709620986133814,"(-127.7445297241211, -0.3975830674171448, -822.0389404296875)","(7.405571937561035, 0.03195004537701607, 0.6416162252426147)"
